country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Laverton (Granny Smith Gold Mine),30.6,-28.8096,122.415,Non-Renewables,,
AUS,Australia,Laverton North,312,-37.8416,144.7887,Non-Renewables,,
AUS,Australia,Leichhardt,60,-20.7835,139.4864,Non-Renewables,,
AUS,Australia,Leinster Nickel Mine,59,-27.8141,120.699,Non-Renewables,,
AUS,Australia,Lemonthyme,81.6,-41.6038,146.139,Hydro,,
AUS,Australia,Leonards Hill,4.1,-37.4271,144.1222,Wind,,
AUS,Australia,Leonora,4.43,-28.8811,121.3213,Non-Renewables,,
AUS,Australia,Liapootah,87.3,-42.3763,146.5099,Hydro,,
AUS,Australia,Liddell,2200,-32.3713,150.9776,Non-Renewables,,
AUS,Australia,Liddell Solar Thermal,9.3,-32.3761,150.9797,Solar,,
AUS,Australia,Lilyvale Solar Farm,100,-23.0875,148.439,Solar,,
AUS,Australia,Lincoln Gap,10,-32.5645,137.5572,Wind,,
AUS,Australia,Longford,31,-38.2236,147.1657,Non-Renewables,,
AUS,Australia,Lonsdale,20,-35.1097,138.491,Non-Renewables,,
AUS,Australia,Lower Lake Margaret,3.2,-42.0147,145.5261,Hydro,,
AUS,Australia,Lower Rubicon,13.55,-37.3027,145.8458,Hydro,,
AUS,Australia,Loy Yang A,2180,-38.2536,146.5746,Non-Renewables,,
AUS,Australia,Loy Yang B,1000,-38.2564,146.5864,Non-Renewables,,
AUS,Australia,Lucas Heights I,5.39,-34.0293,151.0021,Waste,,
AUS,Australia,Lucas Heights II,16,-34.0481,150.9739,Waste,,
AUS,Australia,Macarthur Wind Farm,420,-38.0648,142.1844,Wind,,
AUS,Australia,Mackay,30,-21.1446,149.1591,Non-Renewables,,
AUS,Australia,Mackintosh,79.9,-41.6997,145.6461,Hydro,,
AUS,Australia,Macknade Sugar Mill,8,-18.589,146.258,Biomass,,
AUS,Australia,Mandurah,1.3,-32.5079,115.759,Waste,,
AUS,Australia,Manildra Solar Farm,46,-33.1733,148.718,Solar,,
AUS,Australia,Marble Bar Diesel Backup,1.28,-21.1649,119.7419,Non-Renewables,,
AUS,Australia,Maryborough,7.5,-25.5476,152.7171,Biomass,,
AUS,Australia,Maryvale Mill,54.5,-38.1809,146.4479,Biomass,,
AUS,Australia,McArthur River Mine,78,-16.4335,136.0935,Non-Renewables,,
AUS,Australia,McKay Creek (Mount Beauty Hydro Scheme),150,-36.8584,147.2345,Hydro,,
AUS,Australia,Meadowbank,40,-42.6112,146.8457,Hydro,,
AUS,Australia,Meekatharra,2.9,-26.5952,118.483,Non-Renewables,,
AUS,Australia,Melbourne,1.2,-37.8086,144.9685,Non-Renewables,,
AUS,Australia,Merredin,82,-31.5423,118.227,Non-Renewables,,
AUS,Australia,Mica Creek,325,-20.7776,139.4906,Non-Renewables,,
AUS,Australia,Millmerran,856,-27.9615,151.2789,Non-Renewables,,
AUS,Australia,Mintaro,90,-33.9031,138.7383,Non-Renewables,,
AUS,Australia,Moorabool North Wind Farm,131,-37.655,144.1913,Wind,,
AUS,Australia,Moorabool South Wind Farm,131,-37.7402,144.1622,Wind,,
AUS,Australia,Moranbah,12.56,-21.9851,148.0246,Non-Renewables,,
AUS,Australia,Moranbah North,45.7,-21.8967,147.9507,Non-Renewables,,
AUS,Australia,Moree,60,-29.5722,149.8669,Solar,,
AUS,Australia,Mornington,1,-38.3916,144.8553,Waste,,
AUS,Australia,Mortlake,566,-38.0632,142.6675,Non-Renewables,,
AUS,Australia,Mortons Lane Wind Farm,20,-37.8413,142.4653,Wind,,
AUS,Australia,Mount Keith Nickel Mine,112,-27.2146,120.548,Non-Renewables,,
AUS,Australia,Mount Magnet,1.9,-28.0871,117.8327,Non-Renewables,,
AUS,Australia,Mount Millar Wind Farm,70,-33.6255,136.7039,Wind,,
AUS,Australia,Mount Stuart,423,-19.338,146.8512,Non-Renewables,,
AUS,Australia,Mt Gambier,10,-37.8388,140.8057,Biomass,,
AUS,Australia,Mt Gellibrand Wind Farm,189,-38.2587,143.8019,Wind,,
AUS,Australia,Mt Mercer Wind Farm,131,-37.8317,143.8892,Wind,,
AUS,Australia,Mt Piper,1400,-33.3589,150.0313,Non-Renewables,,
AUS,Australia,Mugga Lane,3.5,-35.3953,149.1458,Waste,,
AUS,Australia,Mugga Lane Solar Park,13,-35.3989,149.146,Solar,,
AUS,Australia,Muja C,400,-33.446,116.3062,Non-Renewables,,
AUS,Australia,Muja D,454,-33.4464,116.3074,Non-Renewables,,
AUS,Australia,Mulgrave,13,-17.0932,145.7887,Biomass,,
AUS,Australia,Mumbida Wind Farm,55,-28.9918,114.9599,Wind,,
AUS,Australia,Mungarra,112,-28.8893,115.1177,Non-Renewables,,
AUS,Australia,Mungullah,18,-24.8911,113.7095,Non-Renewables,,
AUS,Australia,Munmorah,600,-33.2117,151.5418,Non-Renewables,,
AUS,Australia,Murra Warra Wind Farm,429,-36.4333,142.3182,Wind,,
AUS,Australia,Murray 1,950,-36.2467,148.1901,Hydro,,
AUS,Australia,Murray 2,552,-36.2423,148.1362,Hydro,,
AUS,Australia,Murrin Murrin (Nickel Mine),78,-28.9238,121.3293,Non-Renewables,,
AUS,Australia,Musselroe,168,-40.7798,148.0097,Wind,,
AUS,Australia,Narrogin Bioenergy Plant,1,-32.9521,117.1916,Biomass,,
AUS,Australia,Narromine,15,-32.224,148.256,Solar,,
AUS,Australia,Neerabup,330,-31.6712,115.8021,Non-Renewables,,
AUS,Australia,Newman Iron Ore Mine,170,-23.3443,119.7086,Non-Renewables,,
AUS,Australia,Newport,500,-37.8415,144.8942,Non-Renewables,,
AUS,Australia,Nhulunbuy,24,-12.1889,136.6872,Non-Renewables,,
AUS,Australia,Nieterana,2.2,-42.2686,146.2629,Hydro,,
AUS,Australia,Nine Network,3.2,-33.811,151.1966,Non-Renewables,,
AUS,Australia,Noranda,1.1,-31.8654,115.8773,Waste,,
AUS,Australia,Normanton,4.5,-17.681,141.05,Solar,,
AUS,Australia,Norseman Mine,9,-32.1963,121.7943,Non-Renewables,,
AUS,Australia,North Brown Hill  Wind Farm,132.3,-33.3093,138.7296,Wind,,
AUS,Australia,North Sydney,2.4,-33.8398,151.2069,Non-Renewables,,
AUS,Australia,Northam,10,-31.652,116.711,Solar,,
AUS,Australia,Numurkah Solar Farm,100,-36.1592,145.4746,Solar,,
AUS,Australia,Nymboida,33.6,-29.9257,152.7417,Hydro,,
AUS,Australia,Nyngan Solar Plant,102,-31.5527,147.0854,Solar,,
AUS,Australia,Oakey,282,-27.4183,151.6797,Non-Renewables,,
AUS,Australia,Oakey 1,25,-27.406,151.647,Solar,,
AUS,Australia,Oakey 2,55,-27.412,151.655,Solar,,
AUS,Australia,Oakland Hills Wind Farm,67,-37.6871,142.5467,Wind,,
AUS,Australia,Oaky,4.8,-30.5751,152.069,Hydro,,
AUS,Australia,Oaky Creek,20,-22.9878,148.5817,Non-Renewables,,
AUS,Australia,Onslow,3.6,-21.6582,115.099,Non-Renewables,,
AUS,Australia,Ord River,30,-16.1201,128.7383,Hydro,,
AUS,Australia,Osborne,180,-34.798,138.5079,Non-Renewables,,
AUS,Australia,Owen Springs,36,-23.8636,133.8255,Non-Renewables,,
AUS,Australia,Paloona,28,-41.2826,146.249,Hydro,,
AUS,Australia,Paraburdoo,155,-23.2233,117.6133,Non-Renewables,,
AUS,Australia,Paraburdoo (Standby),20,-23.2238,117.6137,Non-Renewables,,
AUS,Australia,Parkes Solar Farm,66,-33.1027,148.075,Solar,,
AUS,Australia,Pedler Creek,3,-35.2023,138.5021,Waste,,
AUS,Australia,Pelican Point,478,-34.765,138.5053,Non-Renewables,,
AUS,Australia,Perth Zoo,2.37,-31.9767,115.8548,Solar,,
AUS,Australia,Peterborough SA,4.9,-32.945,138.905,Solar,,
AUS,Australia,Pindari,6.7,-29.3886,151.2442,Hydro,,
AUS,Australia,Pine Creek,34.76,-13.7856,131.8624,Non-Renewables,,
AUS,Australia,Pinjar,576,-31.5568,115.8204,Non-Renewables,,
